Contact.Key,Resp,R2016,R2015,R2014,Age,Finish.Time,Swim.Time,Bike.Time,Run.Time,Min_Year,prior_races,club_aff,Finish.Rank,Swim.Rank,Bike.Rank,Run.Rank
1506723,0,0,0,0,35,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506731,0,0,0,0,35,25404,2881,12219,9733,2017,1,1,6,7,6,6
1506735,0,0,0,0,36,22318,2538,11117,7333,2017,1,0,4,5,4,2
1506740,0,0,0,0,45,21537,2544,10748,7849,2017,2,0,3,5,3,3
1506741,0,0,0,0,58,27577,3303,13348,10454,2017,1,0,7,8,7,7
1506743,0,0,0,0,31,27296,3647,11860,10900,2017,1,0,7,8,5,7
1506745,0,0,0,0,54,24385,3090,11918,8712,2017,1,0,6,7,6,5
1506746,0,0,0,0,29,25552,1879,11033,11115,2017,1,0,6,2,4,8
1506748,0,0,0,0,34,25833,2902,12550,9581,2017,1,0,7,7,7,6
1506760,0,0,0,0,40,20521,999999,11324,8998,2017,2,0,2,10,4,5
1506770,0,0,0,0,39,999999,999999,999999,999999,2017,2,0,10,10,10,10
1506796,0,0,0,0,40,22430,2544,11498,7995,2017,1,0,4,5,5,3
1506804,0,0,0,0,34,999999,4291,999999,999999,2017,1,0,10,8,10,10
1506806,0,0,0,0,24,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506811,0,0,0,0,45,25561,2871,12072,9231,2017,1,0,6,6,6,6
1506817,0,0,0,0,41,21504,2159,10714,7989,2017,1,0,3,3,3,3
1506829,0,0,0,0,27,29673,3305,14894,10936,2017,1,0,8,8,8,7
1506832,0,0,0,0,24,23352,2592,12195,8125,2017,1,0,5,5,6,4
1506850,1,0,0,0,39,999999,2828,999999,999999,2017,1,0,10,6,10,10
1506868,0,0,0,0,47,20874,2446,10166,7412,2017,1,0,3,4,2,2
1506869,0,0,0,0,45,23904,2338,10733,9851,2017,1,0,5,4,3,6
1506902,0,0,0,0,33,23334,2325,12055,8253,2017,1,0,5,4,6,4
1506908,0,0,0,0,28,26184,2607,12753,8081,2017,1,0,7,5,7,4
1506926,0,0,0,0,41,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506927,0,0,0,0,26,25137,3073,12046,8944,2017,1,0,6,7,6,5
1506941,0,0,0,0,29,999999,999999,14532,999999,2017,1,0,10,10,8,10
1506943,0,0,0,0,30,24250,2253,12481,9065,2017,1,0,5,3,6,5
1506951,0,0,0,0,46,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506955,0,0,0,0,50,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506965,1,0,0,0,29,21391,999999,10877,10150,2017,1,0,3,10,4,7
1506981,0,0,0,0,45,25113,2442,11435,10470,2017,1,0,6,4,5,7
1506982,1,0,0,0,49,18376,1938,9919,6104,2017,1,0,1,2,2,1
1506986,0,0,0,0,31,999999,999999,999999,999999,2017,1,0,10,10,10,10
1506987,0,0,0,0,37,23622,3216,11472,8253,2017,1,0,5,7,5,4
1507001,0,0,0,0,34,20550,2763,10593,6636,2017,1,0,2,6,3,1
1507006,0,0,0,0,53,28910,2514,13248,12336,2017,1,1,8,5,7,8
1507025,0,0,0,0,47,27670,3270,12648,11122,2017,1,1,7,7,7,8
1507046,0,0,0,0,37,26998,2911,13186,10323,2017,1,0,7,7,7,7
1507049,0,0,0,0,37,24784,3377,12098,8428,2017,1,0,6,8,6,4
1507050,0,0,0,0,46,23897,1800,12169,9224,2017,1,0,5,2,6,6
1507057,0,0,0,0,36,26236,3714,11773,9995,2017,2,1,7,8,5,7
1507083,0,0,0,0,38,26933,2583,13614,9848,2017,1,0,7,5,8,6
1507089,0,0,0,0,25,24777,2641,13686,7829,2017,1,0,6,5,8,3
1507142,0,0,0,0,37,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507159,0,0,0,0,33,23936,1587,11701,9501,2017,1,0,5,1,5,6
1507167,0,0,0,0,39,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507189,0,0,0,0,30,28193,3045,13323,11237,2017,1,0,8,7,7,8
1507195,0,0,0,0,38,21347,3594,11720,8364,2017,3,0,3,8,5,4
1507211,0,0,0,0,34,19075,2519,10062,6237,2017,1,0,1,5,2,1
1507242,0,0,0,0,41,18569,1647,10079,6410,2017,2,1,1,1,2,1
1507254,0,0,0,0,28,20377,1942,9365,8520,2017,1,0,2,2,1,4
1507311,0,0,0,0,48,20405,983,11457,7301,2017,1,0,2,1,5,2
1507328,0,0,0,0,33,25023,2469,12448,9340,2017,1,0,6,5,6,6
1507345,0,0,0,0,39,30529,3549,12639,10061,2017,2,0,8,8,7,7
1507362,0,0,0,0,31,20664,2158,10290,7807,2017,1,0,2,3,2,3
1507369,0,0,0,0,37,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507371,0,0,0,0,25,26972,2793,14103,9120,2017,1,0,7,6,8,5
1507379,0,0,0,0,26,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507386,0,0,0,0,20,16970,1718,9607,5416,2017,1,0,1,1,1,1
1507389,0,0,0,0,52,23086,1807,11417,8890,2017,1,0,4,2,5,5
1507409,0,0,0,0,33,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507411,0,0,0,0,29,17236,999999,10599,6517,2017,1,0,1,10,3,1
1507416,0,0,0,0,34,19671,2084,10091,6792,2017,1,0,2,3,2,2
1507421,0,0,0,0,49,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507422,0,0,0,0,52,26570,3290,13037,9193,2017,1,0,7,8,7,6
1507432,0,0,0,0,29,25109,2873,12039,9517,2017,1,0,6,6,6,6
1507440,0,0,0,0,40,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507443,0,0,0,0,23,19325,2177,10471,6057,2017,1,0,2,3,3,1
1507461,0,0,0,0,39,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507471,0,0,0,0,24,31877,2757,15796,12657,2017,1,0,8,6,8,8
1507476,0,0,0,0,29,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507488,0,0,0,0,37,21753,2578,11254,7397,2017,1,0,3,5,4,2
1507494,0,0,0,0,37,999999,999999,999999,999999,2017,1,1,10,10,10,10
1507497,1,0,0,0,30,20267,999999,11799,8336,2017,1,0,2,10,5,4
1507501,0,0,0,0,29,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507502,0,0,0,0,54,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507505,0,0,0,0,27,23362,2096,11807,8833,2017,1,0,5,3,5,5
1507507,1,0,0,0,36,22209,2376,11285,7551,2017,1,0,4,4,4,3
1507529,0,0,0,0,33,999999,999999,999999,999999,2017,1,0,10,10,10,10
1507535,0,0,0,0,30,999999,999999,999999,999999,2017,1,0,10,10,10,10
